Client_ID,Sector,Region,Project_Type,Subscription_Type,Contract_Value,Monthly_Revenue,Total_Revenue,Employee_Hours,Hourly_Rate,Operational_Cost,Support_Tickets,Escalations,Client_Tenure_Months,Satisfaction_Score,Renewal_Status,Discount_Offered,Payment_Delay_Days,Resource_Count,Project_Duration_Days
1,Finance,West,Consulting,Basic,387501,28501,188447,129,1711,128017,46,8,36,1.43,No,13,37,1,346
2,Manufacturing,West,Support,Standard,252440,26113,521693,56,729,129496,47,6,51,1.82,Yes,10,54,9,140
3,IT,West,Consulting,Standard,128356,39441,65695,116,688,67089,15,4,9,1.59,No,28,27,1,363
4,Manufacturing,West,Support,Standard,328355,29690,238296,117,1938,157680,1,1,48,4.19,Yes,1,73,9,280
5,Manufacturing,West,Consulting,Basic,417570,48939,426645,18,509,138713,16,0,59,1.25,Yes,21,85,1,162
6,Healthcare,South,Consulting,Standard,317986,34345,382554,88,1637,26619,31,1,36,3.75,Yes,13,80,2,129
7,IT,West,Implementation,Basic,378996,49571,425898,164,1599,88006,42,0,38,2.47,No,23,21,2,201
8,IT,South,Support,Premium,437881,31829,413039,24,1175,24779,7,2,40,4.02,No,23,42,6,316
9,IT,West,Implementation,Basic,358112,40062,372849,28,1001,192112,2,5,59,4.86,Yes,26,82,7,148
10,Manufacturing,East,Support,Premium,329652,8630,252994,99,584,197397,11,7,29,1.46,Yes,6,80,1,204
11,Finance,North,Consulting,Basic,203077,36870,437844,189,548,31630,19,2,24,2.26,No,25,87,3,59
12,IT,South,Consulting,Premium,104575,49942,61881,35,1337,115575,15,9,48,4.24,Yes,10,35,2,84
13,Manufacturing,West,Support,Standard,200043,8453,369509,163,1507,125436,13,8,5,2.06,No,3,51,8,225
14,Healthcare,East,Implementation,Premium,468815,42275,581144,163,1188,153250,15,9,53,1.86,Yes,6,35,9,70
15,Finance,North,Implementation,Standard,116914,48370,139211,183,886,161007,48,4,54,4.3,No,28,27,2,202
16,Healthcare,South,Implementation,Standard,299134,43396,216078,101,1469,188330,42,6,42,4.95,Yes,15,77,2,359
17,Finance,North,Implementation,Premium,117055,13328,363342,186,1912,32784,48,7,55,3.23,No,25,57,9,248
18,Manufacturing,East,Consulting,Basic,137697,20534,485659,91,1505,164099,32,2,45,2.11,Yes,5,35,4,237
19,Retail,South,Consulting,Basic,156239,24744,287203,190,717,198925,29,1,26,2.59,No,26,69,5,187
20,Finance,North,Consulting,Basic,285469,24389,99553,140,1504,122167,11,1,14,1.68,No,5,8,9,362
21,Healthcare,West,Consulting,Basic,173106,41320,567353,51,1869,77359,14,4,39,4.05,No,1,20,6,257
22,Manufacturing,South,Consulting,Basic,317499,40010,458138,28,1753,88608,17,0,29,4.09,No,23,63,9,114
23,Finance,North,Implementation,Standard,366264,19665,92766,26,754,25111,27,1,52,4.5,Yes,7,75,9,202
24,Retail,East,Implementation,Basic,350486,42865,334349,170,735,173384,22,8,6,1.11,No,29,60,7,274
25,Retail,East,Implementation,Standard,52257,13640,539806,85,1549,34161,13,6,7,3.25,No,26,39,9,202
26,IT,South,Implementation,Standard,339508,39716,214599,186,1784,128920,29,5,37,1.86,Yes,6,55,5,364
27,IT,North,Consulting,Standard,206044,30521,471659,193,770,114823,32,8,53,2.36,No,26,3,5,241
28,Healthcare,South,Consulting,Premium,161715,35049,469740,72,622,135014,44,6,18,4.14,Yes,24,30,8,113
29,Finance,South,Consulting,Premium,76654,10618,438621,140,1155,140466,14,4,23,1.77,No,23,26,4,202
30,Finance,North,Support,Standard,261841,42004,88202,116,1780,77313,6,8,44,3.55,No,13,57,9,212
31,IT,North,Implementation,Premium,393567,6920,499358,58,1944,191446,14,5,38,3.62,No,8,24,7,162
32,Finance,West,Implementation,Basic,341464,48937,80855,64,758,165086,41,5,59,4.82,No,14,68,7,317
33,Finance,North,Consulting,Basic,70808,9188,536963,163,1447,90308,45,3,1,4.1,No,24,69,3,291
34,Retail,East,Implementation,Standard,102389,17207,371385,108,546,56389,37,0,4,4.21,No,21,4,4,311
35,IT,South,Implementation,Basic,168581,5238,521595,61,1362,159233,45,4,51,3.13,Yes,17,7,7,322
36,Manufacturing,South,Consulting,Standard,177927,37972,154837,109,1024,117800,43,8,44,1.75,Yes,11,8,5,298
37,IT,East,Support,Standard,84773,15799,283068,126,1387,148562,10,7,47,2.7,No,22,14,3,226
38,Manufacturing,North,Support,Basic,232240,10552,416427,127,707,129547,28,7,35,3.2,No,18,6,1,54
39,Retail,East,Support,Premium,470963,33916,183805,16,1834,34502,30,4,23,3.71,Yes,12,71,7,170
40,Healthcare,East,Consulting,Basic,388540,9927,175657,55,1246,45757,24,8,27,3.43,Yes,6,14,6,252
41,Finance,West,Implementation,Basic,419836,32964,164428,55,648,51111,23,2,26,2.58,No,24,36,7,49
42,Retail,East,Consulting,Standard,264764,16164,182035,109,937,108273,18,2,52,2.06,No,9,82,2,276
43,Finance,South,Consulting,Standard,107505,42158,505563,153,654,68645,1,0,8,1.67,No,29,38,4,357
44,Healthcare,East,Implementation,Standard,398040,24071,290780,161,1613,120218,21,8,43,3.78,No,9,5,2,230
45,Healthcare,South,Support,Standard,68135,11160,129518,198,857,69055,19,5,16,3.58,No,1,82,8,144
46,Retail,South,Support,Premium,140887,20810,236355,63,1697,129815,32,1,41,3.75,No,13,56,7,218
47,Healthcare,South,Consulting,Premium,172118,10126,180243,71,1740,150070,7,7,3,2.49,Yes,12,80,1,55
48,Manufacturing,North,Support,Premium,359521,35009,456308,138,955,169978,24,8,32,2.05,No,21,18,2,83
49,Healthcare,West,Consulting,Standard,204626,38584,113311,58,1275,111026,45,8,5,4.04,No,28,62,2,199
50,Finance,South,Consulting,Standard,374635,30396,82692,34,1128,80192,8,1,20,4.09,Yes,5,30,4,40
51,Finance,South,Implementation,Standard,498837,5192,452179,19,1722,191549,33,1,14,2.82,Yes,8,74,3,56
52,Finance,North,Implementation,Premium,295739,41413,281468,127,1331,177973,22,6,32,3.45,Yes,12,78,1,112
53,Finance,South,Implementation,Standard,370427,17816,401651,153,985,62021,4,3,26,2.49,Yes,8,9,2,319
54,Manufacturing,East,Consulting,Basic,329067,44082,140152,195,1032,39092,24,0,47,3.81,No,12,86,9,67
55,IT,East,Implementation,Basic,359735,37130,523685,166,699,142314,7,7,6,4.34,Yes,4,66,1,116
56,Retail,West,Support,Standard,112261,45142,589214,101,870,116843,15,1,59,3.75,Yes,13,61,9,350
57,Finance,South,Support,Basic,366480,41468,63969,143,1513,142903,47,2,58,3.05,No,4,2,7,185
58,Healthcare,North,Consulting,Basic,386227,35698,95733,153,1352,60721,44,4,36,2.83,Yes,8,17,2,337
59,Finance,East,Consulting,Premium,110948,15655,391999,157,1971,38511,14,2,40,3.57,Yes,7,24,2,315
60,Healthcare,North,Implementation,Standard,290891,35075,101743,89,747,82782,0,6,51,3.72,No,6,19,5,215
61,Healthcare,North,Consulting,Standard,214074,14359,230948,80,1287,107003,21,6,59,3.23,No,7,57,5,211
62,Finance,East,Consulting,Premium,338816,41661,80323,87,763,159374,2,1,5,3.5,No,21,85,4,172
63,Manufacturing,North,Support,Basic,316357,44579,583293,52,1581,65568,37,6,13,1.39,No,2,49,3,235
64,Healthcare,East,Support,Basic,191365,47056,338572,163,1825,144304,13,5,32,4.81,No,22,78,4,171
65,Healthcare,North,Implementation,Standard,499076,38272,561793,99,530,112062,35,9,16,4.16,No,23,9,4,214
66,Finance,East,Consulting,Basic,112507,47581,386284,87,1772,114301,17,8,1,2.5,No,14,20,2,270
67,Healthcare,South,Consulting,Premium,107134,19671,328508,170,1104,61507,46,8,13,3.25,Yes,7,28,5,37
68,Healthcare,West,Support,Premium,183172,32048,451011,35,1794,134277,40,1,54,1.19,Yes,0,9,5,101
69,Finance,East,Consulting,Standard,291225,15738,488565,130,1917,139999,17,6,11,1.16,No,6,12,5,317
70,Finance,East,Support,Premium,243069,30963,236968,54,1001,110128,2,4,53,2,Yes,18,46,1,124
71,Retail,West,Implementation,Premium,340316,48954,117062,72,1607,20683,9,5,8,3.76,No,1,22,6,186
72,Manufacturing,East,Support,Standard,332276,11773,288338,189,1888,33664,48,0,25,4.41,Yes,13,49,2,70
